StreetName,Suburb,LATITUDE,LONGITUDE
McConnell Street,Kensington,-37.79199121,144.9288409
McConnell Street,Kensington,-37.79118048,144.9287502
McConnell Street,Kensington,-37.7911057,144.9287418
McConnell Street,Kensington,-37.79105867,144.9287366
McConnell Street,Kensington,-37.79098821,144.9287287
McConnell Street,Kensington,-37.79091539,144.9287205
McConnell Street,Kensington,-37.79086751,144.9287152
McConnell Street,Kensington,-37.7908144,144.9287092
McConnell Street,Kensington,-37.7907613,144.9287033
McConnell Street,Kensington,-37.79071378,144.928698
McConnell Street,Kensington,-37.79066725,144.9286928
McConnell Street,Kensington,-37.79208297,144.9287061
McConnell Street,Kensington,-37.79201461,144.9286987
McConnell Street,Kensington,-37.79195214,144.9286919
McConnell Street,Kensington,-37.79189901,144.9286861
McConnell Street,Kensington,-37.79088619,144.9285758
McConnell Street,Kensington,-37.79083238,144.92857
Grattan Street,Parkville,-37.79953989,144.9571728
Grattan Street,Parkville,-37.79952785,144.9570615
Grattan Street,Parkville,-37.7995158,144.9569501
Grattan Street,Parkville,-37.79950375,144.9568388
Grattan Street,Parkville,-37.79949171,144.9567274
Grattan Street,Parkville,-37.79947966,144.9566161
Grattan Street,Parkville,-37.79946761,144.9565047
Grattan Street,Parkville,-37.79945557,144.9563933
Grattan Street,Parkville,-37.79944352,144.956282
Grattan Street,Parkville,-37.79943147,144.9561706
Grattan Street,Parkville,-37.79941942,144.9560593
Grattan Street,Parkville,-37.79940738,144.9559479
